ID_DIA,ID_LOJA,ID_POS,NOME_LOJA,DESC_STORE2,ZONA_REGION,DESC_REGIAO,DESC_CITY,MORADA,UNIDAD_DE_NEGOCIO,VALOR_PV,TOTAL_TRANSACCIONES_SIN_CLIENTE,TOTAL_TRANSACCIONES_CLIENTE_ID,TOTAL_TRANSACCIONES_CLIENTE_FE,TOTAL_TRANSACCIONES_CLIENTE_EMPLEADO,TOTAL_TRANSACCIONES_CLIENTE_FIADO,CLIENTE_OK,CLIENTE_ERRADO,TOTAL_POS,TOTAL_TRANSACCIONES_CON_CLIENTE,COBERTURA_ID,COBERTURA_NO_ID,COBERTURA_ERRADOS,TOTAL_ACUMULADO,TOTAL_ID_ACUMULADO,COBERTURA_TOTAL_ID
2024-02-28,0772,002,NEIVA MERCANEIVA,NEIVA MERCANEIVA,OCCIDENTE,REGION 7,Neiva,CR 5 #38-61 S LC 2508,BdC,41922278.22969188,89,40,0,1,0,31,8,130,41,0.3153846153846154,0.6846153846153846,0.06153846153846154,19531,10316,0.528185960780298
2024-02-28,0772,003,NEIVA MERCANEIVA,NEIVA MERCANEIVA,OCCIDENTE,REGION 7,Neiva,CR 5 #38-61 S LC 2508,BdC,64466255.798319325,56,47,3,3,0,43,10,109,53,0.48623853211009177,0.5137614678899083,0.09174311926605505,19531,10316,0.528185960780298
2024-02-28,0684,003,BARRANQUILLA MCDO BARRANQUILLI,BQUILLA MCDO BQUILLA,NORTE,REGION 2,Barranquilla,CL 8 # 42D-04,BdC,1619600.9075630251,39,31,0,1,0,27,5,71,32,0.4507042253521127,0.5492957746478874,0.07042253521126761,19531,10316,0.528185960780298
2024-02-28,0942,001,IPIALES PLAZA MERCADO,IPIALES PLAZA MERCAD,OCCIDENTE,REGION 8,Ipiales,CR 3 A # 4 E -55,BdC,9224306.022408964,48,147,0,0,0,113,34,195,147,0.7538461538461538,0.24615384615384617,0.17435897435897435,19531,10316,0.528185960780298
2024-02-28,0818,001,BARRANCABERMEJA MERCADO TORCOR,B/RMEJA M TORCOROMA,CENTRO,REGION 11,Barrancabermeja,CL 54 # 21-60,BdC,2328422.299719888,21,15,1,1,0,16,1,38,17,0.4473684210526316,0.5526315789473685,0.02631578947368421,19531,10316,0.528185960780298
2024-02-28,0684,001,BARRANQUILLA MCDO BARRANQUILLI,BQUILLA MCDO BQUILLA,NORTE,REGION 2,Barranquilla,CL 8 # 42D-04,BdC,8274055.422969188,27,193,8,2,0,162,32,230,203,0.8826086956521739,0.11739130434782609,0.1391304347826087,19531,10316,0.528185960780298
2024-02-28,0942,002,IPIALES PLAZA MERCADO,IPIALES PLAZA MERCAD,OCCIDENTE,REGION 8,Ipiales,CR 3 A # 4 E -55,BdC,10984538.12885154,23,57,1,1,0,52,7,82,59,0.7195121951219512,0.2804878048780488,0.08536585365853659,19531,10316,0.528185960780298
2024-02-28,0818,003,BARRANCABERMEJA MERCADO TORCOR,B/RMEJA M TORCOROMA,CENTRO,REGION 11,Barrancabermeja,CL 54 # 21-60,BdC,4771656.711484594,29,46,0,0,1,46,1,76,47,0.618421052631579,0.3815789473684211,0.013157894736842105,19531,10316,0.528185960780298
2024-02-28,0684,002,BARRANQUILLA MCDO BARRANQUILLI,BQUILLA MCDO BQUILLA,NORTE,REGION 2,Barranquilla,CL 8 # 42D-04,BdC,1227653.6022408963,7,46,0,0,0,42,4,53,46,0.8679245283018868,0.1320754716981132,0.07547169811320754,19531,10316,0.528185960780298
2024-02-28,1156,003,MEDELLIN PLACITA DE FLOREZ,M/LLIN PLACITA FLORE,ANTIOQUIA,REGION 9,Medellin,CL 50 # 41-46,BdC,6497228.840336135,47,20,0,0,0,16,4,67,20,0.29850746268656714,0.7014925373134329,0.05970149253731343,19531,10316,0.528185960780298
